"output_area","ALL PEOPLE AGED 16 - 74","Number of people aged 16 - 74: Large employers and higher managers","Number of people aged 16 - 74: Higher professional occupations","Number of people aged 16 - 74: Lower managerial and professional occupations","Number of people aged 16 - 74: Intermediate occupations","Number of people aged 16 - 74: Small employers and own account workers","Number of people aged 16 - 74: Lower supervisory and technical occupations","Number of people aged 16 - 74: Semi-routine occupations","Number of people aged 16 - 74: Routine occupations","Number of people aged 16 - 74: Never worked","Number of people aged 16 - 74: Long-term unemployed","Number of people aged 16 - 74: Full-time students","Number of people aged 16 - 74: Not classifiable for other reasons"
"60QY000449",84,1.19,1.19,26.19,3.57,0,3.57,17.86,14.29,8.33,2.38,1.19,20.24
"60QY000450",59,0,0,8.47,1.69,8.47,8.47,10.17,20.34,3.39,3.39,5.08,30.51
"60QY000451",88,1.14,2.27,20.45,13.64,9.09,12.5,4.55,5.68,1.14,1.14,6.82,21.59
"60QY000452",82,2.44,1.22,15.85,7.32,2.44,8.54,15.85,8.54,0,1.22,3.66,32.93
"60QY000453",105,5.71,7.62,20.95,8.57,4.76,11.43,6.67,4.76,0.95,2.86,6.67,19.05
"60QY000454",92,1.09,3.26,19.57,9.78,5.43,9.78,18.48,13.04,1.09,2.17,3.26,13.04
"60QY000455",56,1.79,1.79,14.29,1.79,1.79,7.14,10.71,16.07,1.79,3.57,1.79,37.5
"60QY000456",55,1.82,1.82,5.45,5.45,7.27,9.09,12.73,9.09,0,1.82,3.64,41.82
"60QY000457",72,0,0,4.17,6.94,1.39,8.33,16.67,11.11,6.94,2.78,6.94,34.72
"60QY000458",68,0,0,7.35,5.88,2.94,13.24,7.35,7.35,2.94,5.88,8.82,38.24
"60QY000459",72,1.39,2.78,9.72,5.56,4.17,6.94,6.94,13.89,13.89,0,4.17,30.56
"60QY000460",58,1.72,5.17,5.17,3.45,1.72,5.17,13.79,8.62,1.72,3.45,3.45,46.55
"60QY000461",166,5.42,2.41,18.07,9.64,3.01,10.84,12.05,7.23,0.6,0,7.23,23.49
"60QY000462",80,3.75,0,20,12.5,3.75,10,15,7.5,1.25,0,3.75,22.5
"60QY000463",156,1.92,1.92,8.33,5.13,2.56,12.82,18.59,12.18,3.21,3.85,5.77,23.72
"60QY000464",108,0.93,0.93,9.26,6.48,0.93,7.41,25,19.44,5.56,1.85,2.78,19.44
"60QY000465",120,2.5,0.83,24.17,11.67,1.67,15,11.67,5.83,0,3.33,11.67,11.67
"60QY000466",122,2.46,6.56,27.05,4.1,5.74,3.28,4.1,2.46,1.64,0,5.74,36.89
"60QY000467",106,0.94,2.83,15.09,5.66,2.83,16.98,9.43,10.38,3.77,0.94,6.6,24.53
"60QY000468",112,0,0.89,13.39,10.71,4.46,16.07,12.5,15.18,0,0,4.46,22.32
"60QY000469",114,0,0,14.91,6.14,1.75,11.4,16.67,16.67,0.88,1.75,8.77,21.05
"60QY000470",51,0,1.96,5.88,7.84,3.92,3.92,17.65,15.69,3.92,3.92,1.96,33.33
"60QY000471",72,0,1.39,8.33,5.56,1.39,8.33,6.94,13.89,2.78,2.78,5.56,43.06
"60QY000472",89,1.12,1.12,7.87,5.62,3.37,11.24,11.24,12.36,2.25,3.37,11.24,29.21
"60QY000473",53,1.89,0,9.43,13.21,0,11.32,18.87,7.55,5.66,5.66,3.77,22.64
"60QY000474",86,1.16,0,1.16,3.49,3.49,12.79,18.6,19.77,3.49,4.65,9.3,22.09
"60QY000475",77,0,7.79,6.49,3.9,2.6,12.99,12.99,3.9,1.3,3.9,3.9,40.26
"60QY000476",56,0,0,12.5,5.36,0,7.14,17.86,17.86,8.93,7.14,1.79,21.43
"60QY000477",63,0,1.59,3.17,11.11,1.59,12.7,11.11,12.7,9.52,0,4.76,31.75
"60QY000478",62,0,1.61,8.06,9.68,6.45,4.84,17.74,8.06,3.23,1.61,11.29,27.42
"60QY000479",93,0,0,8.6,8.6,2.15,8.6,17.2,16.13,13.98,4.3,8.6,11.83
"60QY000480",137,0.73,1.46,8.03,4.38,3.65,8.76,14.6,15.33,10.22,4.38,5.84,22.63
"60QY000481",118,0.85,3.39,2.54,5.08,3.39,8.47,16.95,11.02,5.93,3.39,10.17,28.81
"60QY000482",100,0,2,11,9,3,12,32,8,0,0,8,15
"60QY000483",107,1.87,1.87,8.41,5.61,4.67,5.61,14.95,18.69,0,1.87,12.15,24.3
"60QY000484",107,0.93,0.93,2.8,5.61,6.54,7.48,15.89,16.82,4.67,4.67,11.21,22.43
"60QY000485",99,1.01,1.01,9.09,3.03,3.03,10.1,12.12,20.2,5.05,1.01,5.05,29.29
"60QY000486",82,0,1.22,3.66,3.66,4.88,7.32,14.63,21.95,15.85,6.1,4.88,15.85
"60QY000487",85,0,1.18,7.06,3.53,1.18,8.24,17.65,14.12,9.41,7.06,1.18,29.41
"60QY000488",78,1.28,0,6.41,2.56,7.69,6.41,15.38,19.23,6.41,2.56,3.85,28.21
"60QY000489",79,1.27,0,8.86,1.27,1.27,10.13,17.72,22.78,6.33,1.27,6.33,22.78
"60QY000490",74,0,1.35,8.11,8.11,2.7,10.81,9.46,14.86,6.76,1.35,16.22,20.27
"60QY000491",124,2.42,1.61,11.29,9.68,2.42,12.1,20.97,14.52,4.03,0.81,6.45,13.71
"60QY000492",99,1.01,2.02,8.08,3.03,2.02,9.09,14.14,16.16,4.04,5.05,5.05,30.3
"60QY000493",95,1.05,0,11.58,4.21,5.26,3.16,20,16.84,2.11,2.11,11.58,22.11
"60QY000494",110,0,0,8.18,8.18,3.64,8.18,17.27,19.09,4.55,1.82,3.64,25.45
"60QY000495",42,2.38,0,11.9,9.52,0,4.76,19.05,19.05,2.38,4.76,2.38,23.81
"60QY000496",86,0,1.16,10.47,10.47,2.33,8.14,16.28,11.63,3.49,1.16,10.47,24.42
"60QY000497",98,0,1.02,10.2,5.1,4.08,11.22,16.33,17.35,7.14,4.08,12.24,11.22
"60QY000498",126,1.59,2.38,9.52,9.52,0.79,11.11,15.87,20.63,4.76,2.38,7.94,13.49
"60QY000499",110,0,1.82,12.73,12.73,4.55,12.73,17.27,10.91,0.91,0,10.91,15.45
"60QY000500",68,1.47,1.47,10.29,10.29,2.94,4.41,16.18,20.59,2.94,0,1.47,27.94
"60QY000501",99,1.01,1.01,9.09,13.13,2.02,9.09,20.2,16.16,4.04,3.03,5.05,16.16
"60QY000502",102,0.98,1.96,11.76,3.92,0.98,14.71,21.57,22.55,1.96,0.98,6.86,11.76
"60QY000503",130,1.54,1.54,23.85,13.08,1.54,12.31,14.62,9.23,0.77,0.77,13.85,6.92
"60QY000504",98,1.02,2.04,19.39,11.22,1.02,16.33,18.37,11.22,1.02,0,7.14,11.22
"60QY000505",92,2.17,2.17,21.74,18.48,4.35,8.7,13.04,8.7,2.17,0,9.78,8.7
"60QY000506",106,1.89,0,24.53,16.98,3.77,10.38,16.98,4.72,0,3.77,6.6,10.38
"60QY000507",100,2,3,24,20,1,11,10,6,1,2,7,13
"60QY000508",111,0.9,3.6,25.23,19.82,2.7,9.01,6.31,3.6,0.9,0.9,8.11,18.92
"60QY000509",93,1.08,3.23,17.2,10.75,3.23,8.6,11.83,7.53,0,1.08,4.3,31.18
"60QY000510",145,1.38,4.83,22.76,16.55,1.38,14.48,14.48,5.52,0.69,1.38,11.72,4.83
"60QY000511",98,0,4.08,18.37,14.29,6.12,9.18,14.29,6.12,1.02,0,11.22,15.31
"60QY000512",57,1.75,1.75,21.05,8.77,1.75,8.77,17.54,8.77,1.75,1.75,7.02,19.3
"60QY000513",164,3.66,4.27,24.39,12.2,6.1,7.32,11.59,11.59,0,1.83,10.98,6.1
"60QY000514",74,1.35,4.05,25.68,9.46,8.11,9.46,14.86,4.05,1.35,1.35,5.41,14.86
"60QY000515",145,2.76,6.9,21.38,10.34,5.52,12.41,9.66,5.52,0,0,10.34,15.17
"60QY000516",45,0,2.22,26.67,8.89,8.89,11.11,11.11,0,2.22,2.22,6.67,20
"60QY000517",57,1.75,0,17.54,22.81,8.77,15.79,10.53,1.75,3.51,0,8.77,8.77
"60QY000518",71,0,0,9.86,4.23,4.23,14.08,14.08,14.08,2.82,1.41,7.04,28.17
"60QY000519",74,1.35,0,10.81,5.41,0,6.76,22.97,10.81,1.35,0,2.7,37.84
"60QY000520",104,0.96,0.96,3.85,2.88,3.85,10.58,22.12,14.42,7.69,2.88,10.58,19.23
"60QY000521",113,1.77,0.88,13.27,5.31,2.65,8.85,18.58,16.81,3.54,1.77,3.54,23.01
"60QY000522",129,1.55,0.78,13.18,6.2,3.1,6.98,23.26,19.38,6.2,3.1,5.43,10.85
"60QY000523",60,0,0,8.33,3.33,1.67,8.33,25,16.67,5,3.33,8.33,20
"60QY000524",56,1.79,1.79,10.71,3.57,5.36,10.71,26.79,8.93,7.14,1.79,10.71,10.71
"60QY000525",48,2.08,0,12.5,2.08,0,10.42,16.67,29.17,0,2.08,4.17,20.83
"60QY000526",54,0,0,5.56,5.56,5.56,7.41,1.85,5.56,11.11,0,1.85,55.56
"60QY000527",89,3.37,1.12,19.1,8.99,5.62,8.99,4.49,7.87,0,1.12,4.49,34.83
"60QY000528",48,0,4.17,25,2.08,10.42,8.33,6.25,6.25,2.08,2.08,2.08,31.25
"60QY000529",77,0,0,10.39,7.79,2.6,7.79,18.18,23.38,2.6,0,7.79,19.48
"60QY000530",81,0,0,4.94,9.88,4.94,9.88,18.52,14.81,2.47,3.7,2.47,28.4
"60QY000531",79,1.27,0,12.66,5.06,1.27,12.66,16.46,11.39,1.27,1.27,6.33,30.38
"60QY000532",68,0,2.94,10.29,1.47,2.94,8.82,17.65,16.18,1.47,0,1.47,36.76
"60QY000533",99,0,0,6.06,3.03,1.01,11.11,14.14,24.24,5.05,0,7.07,28.28
"60QY000534",86,1.16,1.16,6.98,5.81,2.33,11.63,18.6,12.79,9.3,4.65,3.49,22.09
"60QY000535",56,1.79,0,5.36,1.79,5.36,7.14,26.79,12.5,3.57,3.57,5.36,26.79
"60QY000536",80,0,0,6.25,3.75,2.5,13.75,18.75,18.75,6.25,6.25,2.5,21.25
"60QY000537",77,0,0,3.9,3.9,1.3,5.19,19.48,23.38,10.39,1.3,6.49,24.68
"60QY000538",111,0,0,4.5,7.21,2.7,8.11,24.32,16.22,2.7,7.21,9.01,18.02
"60QY000539",53,0,0,13.21,5.66,5.66,3.77,18.87,18.87,5.66,3.77,0,24.53
"60QY000540",24,4.17,0,8.33,4.17,4.17,0,20.83,12.5,0,0,4.17,41.67
"60QY000541",116,0.86,1.72,2.59,7.76,1.72,15.52,17.24,20.69,1.72,0.86,2.59,26.72
"60QY000542",112,0.89,0,7.14,5.36,7.14,9.82,16.96,14.29,8.93,1.79,3.57,24.11
"60QY000543",89,2.25,1.12,6.74,4.49,2.25,7.87,15.73,14.61,7.87,2.25,2.25,32.58
"60QY000544",46,0,4.35,15.22,4.35,4.35,10.87,21.74,15.22,4.35,0,6.52,13.04
"60QY000545",80,1.25,1.25,7.5,6.25,2.5,6.25,16.25,15,5,3.75,10,25
"60QY000546",72,0,1.39,6.94,4.17,4.17,4.17,12.5,19.44,6.94,1.39,11.11,27.78
"60QY000547",48,0,0,4.17,4.17,10.42,2.08,2.08,10.42,6.25,0,2.08,58.33
"60QY000548",80,1.25,1.25,7.5,12.5,7.5,5,11.25,11.25,1.25,2.5,3.75,35
"60QY000549",83,0,3.61,14.46,8.43,3.61,12.05,6.02,20.48,3.61,7.23,4.82,15.66
"60QY000550",92,3.26,1.09,7.61,5.43,2.17,4.35,16.3,22.83,3.26,5.43,6.52,21.74
"60QY000551",120,5.83,5,15.83,10.83,5.83,12.5,13.33,7.5,1.67,0,6.67,15
"60QY000552",87,0,0,10.34,8.05,1.15,8.05,19.54,10.34,2.3,4.6,8.05,27.59
"60QY000553",73,0,0,12.33,8.22,1.37,8.22,20.55,10.96,4.11,2.74,4.11,27.4
"60QY000554",121,4.13,4.13,19.83,4.96,4.13,4.13,10.74,4.96,2.48,1.65,8.26,30.58
"60QY000555",78,0,2.56,15.38,8.97,6.41,12.82,15.38,16.67,2.56,0,2.56,16.67
"60QY000556",101,2.97,0.99,9.9,12.87,5.94,4.95,17.82,10.89,3.96,1.98,4.95,22.77
"60QY000557",101,3.96,0.99,6.93,0.99,9.9,9.9,11.88,18.81,6.93,6.93,4.95,17.82
"60QY000558",86,2.33,0,9.3,5.81,1.16,4.65,18.6,20.93,5.81,5.81,4.65,20.93
"60QY000559",79,1.27,2.53,12.66,5.06,2.53,8.86,17.72,12.66,3.8,2.53,2.53,27.85
"60QY000560",85,0,0,10.59,4.71,3.53,8.24,18.82,20,1.18,2.35,3.53,27.06
"60QY000561",83,0,0,3.61,1.2,3.61,6.02,19.28,18.07,9.64,0,13.25,25.3
"60QY000562",53,0,0,13.21,3.77,7.55,7.55,22.64,30.19,0,0,3.77,11.32
"60QY000563",113,0.88,1.77,9.73,8.85,4.42,15.04,20.35,11.5,0.88,2.65,3.54,20.35
"60QY000564",107,0.93,0,10.28,3.74,2.8,9.35,19.63,16.82,7.48,1.87,1.87,25.23
"60QY000565",95,0,0,3.16,4.21,4.21,10.53,15.79,14.74,1.05,2.11,10.53,33.68
"60QY000566",159,0.63,0.63,5.03,5.03,1.26,16.35,18.87,22.01,2.52,2.52,5.03,20.13
"60QY000567",79,0,1.27,15.19,6.33,3.8,11.39,21.52,20.25,2.53,2.53,6.33,8.86
"60QY000568",81,1.23,1.23,16.05,8.64,2.47,4.94,18.52,14.81,1.23,0,2.47,28.4
"60QY000569",69,0,1.45,10.14,7.25,2.9,10.14,18.84,17.39,1.45,1.45,7.25,21.74
"60QY000570",68,2.94,1.47,26.47,11.76,4.41,5.88,10.29,8.82,2.94,1.47,7.35,16.18
"60QY000571",81,1.23,0,16.05,8.64,12.35,8.64,16.05,7.41,1.23,1.23,7.41,19.75
"60QY000572",87,0,2.3,11.49,8.05,3.45,6.9,9.2,11.49,1.15,3.45,8.05,34.48
"60QY000573",99,1.01,0,11.11,4.04,5.05,8.08,14.14,18.18,6.06,3.03,7.07,22.22
"60QY000574",86,2.33,2.33,10.47,4.65,6.98,4.65,13.95,18.6,6.98,1.16,4.65,23.26
"60QY000575",77,0,1.3,1.3,5.19,7.79,5.19,12.99,19.48,10.39,3.9,11.69,20.78
"60QY000576",90,2.22,2.22,8.89,7.78,2.22,5.56,13.33,21.11,4.44,1.11,12.22,18.89
"60QY000577",79,0,0,12.66,6.33,2.53,7.59,13.92,11.39,7.59,3.8,6.33,27.85
"60QY000578",70,0,0,10,4.29,4.29,5.71,21.43,12.86,5.71,2.86,7.14,25.71
"60QY000579",82,2.44,0,8.54,8.54,1.22,2.44,13.41,15.85,9.76,2.44,10.98,24.39
"60QY000580",86,0,1.16,5.81,4.65,4.65,5.81,19.77,16.28,1.16,5.81,10.47,24.42
"60QY000581",106,0,1.89,5.66,7.55,1.89,9.43,25.47,16.98,0,2.83,11.32,16.98
"60QY000582",85,2.35,2.35,3.53,1.18,2.35,10.59,15.29,16.47,1.18,5.88,8.24,30.59
"60QY000583",60,0,0,16.67,3.33,10,5,8.33,3.33,0,0,8.33,45
"60QY000584",90,0,1.11,14.44,2.22,2.22,12.22,11.11,15.56,4.44,5.56,8.89,22.22
"60QY000585",114,1.75,6.14,33.33,10.53,3.51,5.26,7.89,1.75,1.75,0.88,6.14,21.05
"60QY000586",81,0,0,7.41,9.88,2.47,3.7,12.35,22.22,3.7,0,7.41,30.86
"60QY000587",131,2.29,5.34,26.72,5.34,8.4,9.92,4.58,7.63,1.53,0.76,8.4,19.08
"60QY000588",143,5.59,5.59,23.78,8.39,4.9,11.19,6.99,4.2,0.7,0,9.79,18.88
"60QY000589",96,2.08,6.25,20.83,10.42,3.13,9.38,10.42,8.33,0,0,6.25,22.92
"60QY000590",102,1.96,7.84,13.73,10.78,4.9,11.76,9.8,6.86,4.9,0.98,2.94,23.53
"60QY000591",75,1.33,1.33,17.33,4,8,4,9.33,10.67,2.67,1.33,1.33,38.67
"60QY000592",64,0,1.56,17.19,1.56,3.13,7.81,14.06,7.81,1.56,4.69,7.81,32.81
"60QY000593",159,8.18,6.29,27.67,8.81,10.69,6.29,3.77,1.89,0,0.63,8.18,17.61
"60QY000594",124,3.23,6.45,25.81,8.87,8.87,2.42,5.65,1.61,4.03,3.23,5.65,24.19
"60QY000595",99,9.09,10.1,25.25,4.04,6.06,5.05,5.05,4.04,1.01,0,12.12,18.18
"60QY000596",67,8.96,7.46,26.87,5.97,8.96,2.99,1.49,0,1.49,0,10.45,25.37
"60QY000597",89,4.49,5.62,28.09,4.49,2.25,4.49,5.62,5.62,0,0,13.48,25.84
"60QY000598",118,5.93,22.88,18.64,5.08,6.78,5.08,5.08,2.54,1.69,0,5.08,21.19
"60QY000599",64,3.13,7.81,31.25,12.5,3.13,7.81,12.5,3.13,0,0,4.69,14.06
"60QY000600",90,3.33,12.22,20,7.78,7.78,6.67,2.22,1.11,0,0,18.89,20
"60QY000601",39,5.13,10.26,30.77,2.56,10.26,2.56,12.82,5.13,2.56,2.56,2.56,12.82
"60QY000602",91,2.2,4.4,26.37,13.19,2.2,7.69,10.99,7.69,2.2,1.1,8.79,13.19
"60QY000603",73,1.37,2.74,19.18,12.33,8.22,15.07,9.59,8.22,1.37,2.74,8.22,10.96
"60QY000604",108,5.56,12.96,30.56,10.19,1.85,3.7,2.78,1.85,0.93,0.93,2.78,25.93
"60QY000605",53,3.77,13.21,22.64,9.43,3.77,3.77,9.43,5.66,1.89,0,7.55,18.87
"60QY000606",106,0.94,1.89,24.53,15.09,6.6,7.55,7.55,7.55,0.94,0,4.72,22.64
"60QY000607",69,4.35,4.35,24.64,10.14,4.35,5.8,11.59,2.9,8.7,0,2.9,20.29
"60QY000608",101,8.91,7.92,24.75,8.91,9.9,1.98,7.92,2.97,0.99,0.99,10.89,13.86
"60QY000609",50,0,6,22,10,4,14,8,8,6,0,8,14
"60QY000610",91,5.49,4.4,18.68,9.89,6.59,5.49,10.99,7.69,0,1.1,8.79,20.88
"60QY000611",72,1.39,2.78,22.22,12.5,4.17,9.72,15.28,12.5,1.39,0,1.39,16.67
"60QY000612",117,1.71,5.13,31.62,5.98,10.26,5.13,5.98,5.13,1.71,2.56,4.27,20.51
"60QY000613",53,0,1.89,26.42,7.55,5.66,9.43,5.66,13.21,5.66,5.66,7.55,11.32
"60QY000614",105,5.71,11.43,20.95,8.57,2.86,12.38,10.48,3.81,0.95,0,10.48,12.38
"60QY000615",84,0,2.38,26.19,11.9,4.76,8.33,14.29,3.57,2.38,1.19,8.33,16.67
"60QY000616",65,3.08,0,9.23,10.77,3.08,4.62,7.69,10.77,7.69,0,4.62,38.46
"60QY000617",70,5.71,12.86,24.29,5.71,10,4.29,7.14,2.86,1.43,0,8.57,17.14
"60QY000618",56,1.79,0,8.93,8.93,5.36,10.71,14.29,8.93,0,1.79,3.57,35.71
"60QY000619",72,4.17,6.94,20.83,6.94,2.78,9.72,12.5,2.78,2.78,4.17,4.17,22.22
"60QY000620",84,0,3.57,7.14,7.14,7.14,8.33,15.48,15.48,7.14,1.19,4.76,22.62
"60QY000621",56,0,0,8.93,10.71,1.79,3.57,17.86,10.71,7.14,3.57,7.14,28.57
"60QY000622",85,1.18,2.35,11.76,7.06,1.18,12.94,18.82,15.29,3.53,1.18,2.35,22.35
"60QY000623",59,0,3.39,15.25,1.69,3.39,3.39,13.56,13.56,5.08,3.39,3.39,33.9
"60QY000624",80,1.25,0,2.5,3.75,7.5,11.25,20,11.25,3.75,1.25,2.5,35
"60QY000625",121,2.48,2.48,9.09,10.74,4.96,14.88,10.74,14.05,1.65,3.31,4.13,21.49
"60QY000626",83,0,0,4.82,6.02,2.41,8.43,22.89,25.3,8.43,1.2,0,20.48
"60QY000627",76,0,0,5.26,3.95,7.89,7.89,10.53,22.37,5.26,2.63,5.26,28.95
"60QY000628",59,0,0,13.56,NA,1.69,5.08,16.95,25.42,6.78,6.78,3.39,20.34
"60QY000629",73,0,1.37,9.59,4.11,5.48,9.59,12.33,17.81,1.37,0,1.37,36.99
"60QY000630",88,3.41,1.14,7.95,12.5,5.68,9.09,9.09,15.91,0,1.14,3.41,30.68
"60QY000631",92,0,0,7.61,7.61,1.09,7.61,10.87,17.39,8.7,4.35,2.17,32.61
"60QY000632",72,1.39,0,6.94,5.56,2.78,8.33,19.44,11.11,0,4.17,1.39,38.89
"60QY000633",81,0,0,7.41,4.94,4.94,6.17,7.41,20.99,2.47,2.47,4.94,38.27
"60QY000634",45,0,0,6.67,6.67,2.22,4.44,11.11,11.11,11.11,4.44,0,42.22
"60QY000635",67,1.49,7.46,19.4,7.46,8.96,13.43,5.97,10.45,1.49,2.99,7.46,13.43
"60QY000636",79,0,0,8.86,2.53,2.53,15.19,11.39,21.52,8.86,2.53,6.33,20.25
"60QY000637",108,0,1.85,12.04,3.7,1.85,14.81,11.11,15.74,1.85,5.56,6.48,25
"60QY000638",70,0,0,8.57,8.57,0,15.71,18.57,18.57,2.86,2.86,2.86,21.43
"60QY000639",142,1.41,0.7,8.45,4.23,4.93,13.38,16.9,17.61,2.82,2.11,8.45,19.01
"60QY000640",109,0.92,2.75,6.42,5.5,2.75,15.6,13.76,14.68,4.59,6.42,2.75,23.85
"60QY000641",101,0.99,0.99,3.96,9.9,4.95,8.91,8.91,23.76,4.95,1.98,2.97,27.72
"60QY000642",109,1.83,0.92,14.68,3.67,1.83,8.26,12.84,18.35,5.5,3.67,6.42,22.02
"60QY000643",146,0,0.68,4.79,5.48,2.05,7.53,21.23,15.07,9.59,2.74,6.16,24.66
"60QY000644",117,0,0.85,13.68,6.84,2.56,13.68,16.24,14.53,5.13,1.71,6.84,17.95
"60QY000645",98,0,1.02,6.12,7.14,5.1,12.24,15.31,16.33,14.29,6.12,2.04,14.29
"60QY000646",115,1.74,1.74,16.52,7.83,6.96,8.7,10.43,12.17,0.87,1.74,12.17,19.13
"60QY000647",87,1.15,3.45,29.89,4.6,8.05,8.05,13.79,8.05,1.15,0,4.6,17.24
"60QY000648",110,0.91,3.64,19.09,10.91,8.18,10.91,7.27,10.91,1.82,0.91,6.36,19.09
"60QY000649",89,0,0,11.24,10.11,5.62,13.48,10.11,8.99,1.12,4.49,11.24,23.6
"60QY000650",62,0,3.23,8.06,8.06,19.35,16.13,12.9,14.52,4.84,1.61,3.23,8.06
"60QY000651",119,2.52,7.56,27.73,12.61,5.04,8.4,9.24,6.72,0,0.84,4.2,15.13
"60QY000652",101,3.96,10.89,15.84,10.89,3.96,4.95,9.9,7.92,0.99,0.99,2.97,26.73
"60QY000653",102,2.94,5.88,24.51,10.78,3.92,12.75,12.75,3.92,1.96,1.96,6.86,11.76
"60QY000654",92,0,3.26,6.52,6.52,2.17,10.87,15.22,22.83,5.43,1.09,3.26,22.83
"60QY000655",80,0,0,10,7.5,5,8.75,13.75,18.75,5,2.5,2.5,26.25
"60QY000656",98,0,1.02,8.16,8.16,2.04,11.22,15.31,17.35,5.1,1.02,5.1,25.51
"60QY000657",64,0,1.56,4.69,6.25,0,4.69,7.81,28.13,10.94,1.56,4.69,29.69
"60QY000658",71,0,1.41,22.54,14.08,1.41,16.9,11.27,9.86,0,1.41,8.45,12.68
"60QY000659",74,0,0,20.27,9.46,5.41,9.46,16.22,13.51,0,0,2.7,22.97
"60QY000660",68,0,0,4.41,11.76,2.94,14.71,23.53,10.29,5.88,0,4.41,22.06
"60QY000661",86,2.33,0,12.79,17.44,8.14,12.79,11.63,11.63,2.33,0,5.81,15.12
"60QY000662",86,0,1.16,4.65,5.81,5.81,4.65,25.58,15.12,6.98,3.49,12.79,13.95
"60QY000663",62,1.61,1.61,12.9,1.61,3.23,14.52,14.52,11.29,3.23,4.84,1.61,29.03
"60QY000664",75,2.67,0,9.33,2.67,2.67,13.33,12,25.33,1.33,5.33,5.33,20
"60QY000665",59,0,0,NA,10.17,3.39,3.39,11.86,18.64,3.39,0,0,49.15
"60QY000666",75,0,1.33,4,4,4,13.33,24,13.33,4,0,6.67,25.33
"60QY000667",115,1.74,1.74,16.52,12.17,3.48,19.13,17.39,7.83,0.87,0.87,3.48,14.78
"60QY000668",128,0.78,3.13,16.41,10.16,4.69,15.63,17.19,11.72,0.78,0.78,9.38,9.38
"60QY000669",37,2.7,0,5.41,NA,0,8.11,2.7,5.41,0,0,5.41,70.27
"60QY000670",60,0,0,5,3.33,1.67,10,11.67,6.67,3.33,1.67,1.67,55
"60QY000671",87,1.15,3.45,19.54,5.75,4.6,14.94,12.64,13.79,0,0,4.6,19.54
"60QY000672",88,3.41,0,6.82,6.82,1.14,10.23,13.64,27.27,0,3.41,2.27,25
"60QY000673",67,2.99,0,8.96,2.99,4.48,4.48,7.46,31.34,2.99,2.99,7.46,23.88
"60QY000674",73,0,0,8.22,9.59,1.37,6.85,12.33,21.92,2.74,2.74,12.33,21.92
"60QY000675",65,0,0,9.23,3.08,4.62,15.38,24.62,23.08,0,3.08,7.69,9.23
"60QY000676",62,0,0,8.06,8.06,1.61,3.23,9.68,27.42,1.61,0,8.06,32.26
"60QY000677",55,0,0,7.27,7.27,1.82,9.09,12.73,20,5.45,5.45,3.64,27.27
"60QY000678",77,1.3,1.3,7.79,3.9,1.3,12.99,14.29,19.48,6.49,1.3,3.9,25.97
"60QY000679",97,0,0,7.22,5.15,3.09,9.28,17.53,22.68,5.15,1.03,2.06,26.8
"60QY000680",92,1.09,1.09,6.52,6.52,6.52,16.3,8.7,17.39,1.09,1.09,6.52,27.17
"60QY000681",126,0.79,0,3.17,8.73,3.17,8.73,21.43,20.63,2.38,0.79,3.97,26.19
"60QY000682",117,0.85,0.85,3.42,7.69,5.98,11.97,21.37,15.38,1.71,0.85,4.27,25.64
"60QY000683",90,0,1.11,6.67,5.56,3.33,12.22,20,17.78,3.33,0,3.33,26.67
"60QY000684",101,1.98,0.99,18.81,2.97,7.92,10.89,13.86,9.9,6.93,0.99,1.98,22.77
"60QY000685",54,0,0,12.96,3.7,3.7,11.11,5.56,20.37,3.7,3.7,0,35.19
"60QY000686",80,0,1.25,7.5,6.25,0,8.75,13.75,17.5,3.75,3.75,3.75,33.75
"60QY000687",56,3.57,0,12.5,7.14,1.79,7.14,7.14,12.5,5.36,7.14,5.36,30.36
"60QY000688",132,4.55,5.3,21.97,12.12,4.55,10.61,9.85,8.33,0.76,0,4.55,17.42
"60QY000689",80,3.75,2.5,12.5,17.5,2.5,6.25,12.5,15,1.25,1.25,3.75,21.25
"60QY000690",72,0,0,15.28,2.78,8.33,8.33,15.28,12.5,4.17,1.39,2.78,29.17
"60QY000691",97,2.06,3.09,13.4,13.4,6.19,11.34,12.37,10.31,2.06,1.03,1.03,23.71
"60QY000692",62,1.61,4.84,33.87,9.68,1.61,22.58,12.9,4.84,0,0,3.23,4.84
"60QY000693",117,4.27,1.71,14.53,10.26,5.13,9.4,8.55,11.11,3.42,0.85,4.27,26.5
"60QY000694",79,1.27,1.27,16.46,17.72,1.27,12.66,17.72,16.46,1.27,0,3.8,10.13
"60QY000695",61,0,0,6.56,6.56,1.64,3.28,11.48,32.79,3.28,0,4.92,29.51
"60QY000696",94,0,0,10.64,6.38,3.19,8.51,12.77,22.34,4.26,1.06,5.32,25.53
"60QY000697",116,0,0.86,10.34,4.31,2.59,11.21,21.55,15.52,2.59,2.59,4.31,24.14
"60QY000698",74,0,0,6.76,5.41,1.35,14.86,12.16,9.46,6.76,1.35,4.05,37.84
"60QY000699",97,1.03,3.09,5.15,5.15,3.09,7.22,16.49,9.28,9.28,5.15,5.15,29.9
"60QY000700",61,0,1.64,4.92,3.28,3.28,9.84,8.2,16.39,9.84,3.28,3.28,36.07
"60QY000701",102,0,0,9.8,6.86,2.94,10.78,17.65,11.76,5.88,0,5.88,28.43
"60QY000702",100,1,1,13,7,7,10,18,10,7,2,7,17
